Name,Address,Latitude,Longitude,BeerPrice,HappyHourPrice,HasHappyHour,HappyHourTimes,AvgRating,RatingsCount,OpeningHours,SpecialNotes,URL
Pitcher's Hornsberg,"Moa Martinsons Torg 12, 112 16 Stockholm, Sweden",59.3398082,18.0053452,79,,Yes,Mon 16:00–18:00; Tue 16:00–18:00; Wed 16:00–18:00; Thu 16:00–18:00; Fri 16:00–18:00,0,0,Mon: 16:00 – 23:00 | Tue: 16:00 – 23:00 | Wed: 16:00 – 23:00 | Thu: 16:00 – 23:00 | Fri: 15:00 – 01:00 | Sat: 13:00 – 01:00 | Sun: 13:00 – 23:00,Happy Hour (Mon 16:00–18:00; Tue 16:00–18:00; Wed 16:00–18:00; Thu 16:00–18:00; Fri 16:00–18:00),https://www.google.com/maps/search/?api=1&query=Pitcher%27s+Hornsberg+Moa+Martinsons+Torg+12%2C+112+16+Stockholm%2C+Sweden
Himlen,"Götgatan 78, 118 30 Stockholm, Sweden",59.31194509999999,18.0739947,79,,No,,0,0,Mon: 11:30 – 23:00 | Tue: 11:30 – 00:00 | Wed: 11:30 – 00:00 | Thu: 11:30 – 00:00 | Fri: 11:30 – 03:00 | Sat: 12:00 – 03:00,,https://www.google.com/maps/search/?api=1&query=Himlen+G%C3%B6tgatan+78%2C+118+30+Stockholm%2C+Sweden
Nyko Kitchen,"Nybrogatan 61, Kommendörsgatan 17, 114 40 Stockholm, Sweden",59.3388201,18.0803039,79,,No,,0,0,Mon: 11:30 – 23:00 | Tue: 11:30 – 23:00 | Wed: 11:30 – 23:00 | Thu: 11:30 – 23:00 | Fri: 11:30 – 00:00 | Sat: 11:30 – 00:00 | Sun: 11:30 – 22:30,,https://www.google.com/maps/search/?api=1&query=Nyko+Kitchen+Nybrogatan+61%2C+Kommend%C3%B6rsgatan+17%2C+114+40+Stockholm%2C+Sweden
Aubergine,"Linnégatan 38, 114 47 Stockholm, Sweden",59.3367589,18.0819185,79,,No,,0,0,Mon: 16:00 – 23:00 | Tue: 11:30 – 23:00 | Wed: 11:30 – 00:00 | Thu: 11:30 – 00:00 | Fri: 11:30 – 01:00 | Sat: 12:00 – 01:00,,https://www.google.com/maps/search/?api=1&query=Aubergine+Linn%C3%A9gatan+38%2C+114+47+Stockholm%2C+Sweden
Snaps Bar & Bistro,"Götgatan 48, 118 26 Stockholm, Sweden",59.31551459999999,18.0724428,79,,Yes,Fri 19:00–22:00,0,0,Mon: 11:00 – 01:00 | Tue: 11:00 – 01:00 | Wed: 11:00 – 02:00 | Thu: 11:00 – 02:00 | Fri: 11:00 – 03:00 | Sat: 11:00 – 03:00 | Sun: 11:00 – 01:00,Terrace · Happy Hour (Fri 19:00–22:00) · DJ,https://www.google.com/maps/search/?api=1&query=Snaps+Bar+%26+Bistro+G%C3%B6tgatan+48%2C+118+26+Stockholm%2C+Sweden
bap - Burgers & Pastrami,"Linnégatan 38, 114 47 Stockholm, Sweden",59.3367012,18.0822442,79,,No,,0,0,Mon: 11:00 – 22:00 | Tue: 11:00 – 22:00 | Wed: 11:00 – 22:00 | Thu: 11:00 – 22:00 | Fri: 11:00 – 23:00 | Sat: 12:00 – 23:00 | Sun: 12:00 – 21:00,,https://www.google.com/maps/search/?api=1&query=bap+-+Burgers+%26+Pastrami+Linn%C3%A9gatan+38%2C+114+47+Stockholm%2C+Sweden
Boulebar Rådhuset,"Nere I T-Banan, Hantverkargatan 8, 112 25 Stockholm, Sweden",59.3302401,18.0468273,79,,No,,0,0,Mon: 15:00 – 23:00 | Tue: 15:00 – 23:00 | Wed: 15:00 – 23:00 | Thu: 15:00 – 23:00 | Fri: 15:00 – 00:00 | Sat: 11:00 – 00:00 | Sun: 11:00 – 17:00,,https://www.google.com/maps/search/?api=1&query=Boulebar+R%C3%A5dhuset+Nere+I+T-Banan%2C+Hantverkargatan+8%2C+112+25+Stockholm%2C+Sweden
Brisket & Friends,"Upplandsgatan 7, 111 23 Stockholm, Sweden",59.3368002,18.054133,79,,No,,0,0,Mon: 11:00 – 22:00 | Tue: 11:00 – 22:00 | Wed: 11:00 – 23:00 | Thu: 11:00 – 23:00 | Fri: 11:00 – 23:00 | Sat: 12:00 – 23:00 | Sun: 12:00 – 21:00,,https://www.google.com/maps/search/?api=1&query=Brisket+%26+Friends+Upplandsgatan+7%2C+111+23+Stockholm%2C+Sweden
El Chimichurri,"Drottninggatan 77, 111 60 Stockholm, Sweden",59.337651,18.0575058,79,,No,,0,0,Wed: 16:30 – 00:00 | Thu: 16:30 – 00:00 | Fri: 16:30 – 00:00 | Sat: 12:00 – 00:00 | Sun: 12:00 – 20:00,,https://www.google.com/maps/search/?api=1&query=El+Chimichurri+Drottninggatan+77%2C+111+60+Stockholm%2C+Sweden
The Liffey,"Stora Nygatan 40, 111 27 Stockholm, Sweden",59.32346639999999,18.0703054,79,,Yes,Mon 15:00–18:00; Tue 15:00–18:00; Wed 15:00–18:00; Thu 15:00–18:00; Fri 15:00–18:00,0,0,Mon: 15:00 – 23:00 | Tue: 15:00 – 00:00 | Wed: 15:00 – 01:00 | Thu: 15:00 – 01:00 | Fri: 11:00 – 01:00 | Sat: 11:00 – 01:00 | Sun: 12:00 – 00:00,Happy Hour (Mon 15:00–18:00; Tue 15:00–18:00; Wed 15:00–18:00; Thu 15:00–18:00; Fri 15:00–18:00),https://www.google.com/maps/search/?api=1&query=The+Liffey+Stora+Nygatan+40%2C+111+27+Stockholm%2C+Sweden
